"Mass Actions","Mass Actions"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"* Required Fields","* Required Fields"
Location,Location
Latitude,Latitude
Longitude,Longitude
SAVE,SAVE
Save,Save
"Shipping Method","Shipping Method"
"Distance Range Shipping List","Distance Range Shipping List"
Distance,Distance
"Search by method name","Search by method name"
"From: ","From: "
"To: ","To: "
Submit,Submit
"Delete Shipping Rule","Delete Shipping Rule"
Action,Action
"No Shipping Available","No Shipping Available"
Update,Update
Menu,Menu
"Manage Shipping","Manage Shipping"
"Manage Shipping Superset","Manage Shipping Superset"
"i.e. Standard delivery or Special delivery","i.e. Standard delivery or Special delivery"
"This enables you to assign as shipping type/service, i.e Standard or Next Day Delivery","This enables you to assign as shipping type/service, i.e Standard or Next Day Delivery"
"Upload Shipping Detail","Upload Shipping Detail"
"Download sample file","Download sample file"
"Add shipping record","Add shipping record"
"Shipping Type:","Shipping Type:"
"Add Shipping Type","Add Shipping Type"
"Name: ","Name: "
"(Enter region code or enter * for all)","(Enter region code or enter * for all)"
"(Enter min weight to calculate shipping)","(Enter min weight to calculate shipping)"
"Weight to","Weight to"
"(Enter max weight to calculate shipping)","(Enter max weight to calculate shipping)"
"Zip from","Zip from"
"(Enter specific zip or * for all)","(Enter specific zip or * for all)"
"Zip to","Zip to"
"(Enter shipping price)","(Enter shipping price)"
"(Enter Alphanumeric zipcode)","(Enter Alphanumeric zipcode)"
"Shipping Rate List","Shipping Rate List"
"+ Add Shipping Method","+ Add Shipping Method"
Weight,Weight
"Zip code","Zip code"
"No Record Found!","No Record Found!"
SUGGESTIONS,SUGGESTIONS
"Shipping Superset Information","Shipping Superset Information"
"Super set Type","Super set Type"
Fixed,Fixed
Free,Free
"Shipping Superset List","Shipping Superset List"
All,All
"Delete Shipping Superset","Delete Shipping Superset"
"Edit shipping set record","Edit shipping set record"
"Are you sure, you want to delete?","Are you sure, you want to delete?"
"Are you sure, you want to delete these Shipping Rule(s)?","Are you sure, you want to delete these Shipping Rule(s)?"
"Are you sure, you want to edit?","Are you sure, you want to edit?"
" No Checkbox is checked "," No Checkbox is checked "
"There is some error during executing this process, please try again later.","There is some error during executing this process, please try again later."
"Invalid File Extension","Invalid File Extension"
"Are you sure, you want to delete these Shipping sets?","Are you sure, you want to delete these Shipping sets?"
"Field ","Field "
" is required."," is required."
"Webkul Marketplace Table Rate Shipping Detail","Webkul Marketplace Table Rate Shipping Detail"
Enabled,Enabled
Title,Title
"Method Title(This will visible at frontend)","Method Title(This will visible at frontend)"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"If seller rates are not available","If seller rates are not available"
"Enabled Distance-wise Shipping","Enabled Distance-wise Shipping"
"Google API Key","Google API Key"
"Admin Location","Admin Location"
"Please enter Google Map Api and save to make it work","Please enter Google Map Api and save to make it work"
"Admin Latitude","Admin Latitude"
"Admin Longitude","Admin Longitude"
"Distance Unit","Distance Unit"
"Add New Rule","Add New Rule"
"Delete items","Delete items"
"Are you sure you want to delete selected shipping rule(s)?","Are you sure you want to delete selected shipping rule(s)?"
Id,Id
"Add New Shipping Set","Add New Shipping Set"
"Are you sure you want to delete selected shipping set?","Are you sure you want to delete selected shipping set?"
